Title,Genre,Duration,Rating,Votes
Dune: Part Two,Comedy,2h 46m,8.5,(610K)
Venom: The Last Dance,Comedy,1h 50m,6.0,(105K)
Gladiator II,Comedy,2h 28m,6.6,(213K)
Sonic the Hedgehog 3,Comedy,1h 50m,6.9,(51K)
The Lord of the Rings: The War of the Rohirrim,Comedy,2h 14m,6.3,(27K)
William Tell,Comedy,2h 13m,5.8,(1.4K)
Kraven the Hunter,Comedy,2h 7m,5.4,(42K)
Pushpa: The Rule - Part 2,Comedy,3h 21m,6.1,(53K)
Furiosa: A Mad Max Saga,Comedy,2h 28m,7.5,(278K)
Elevation,Comedy,1h 31m,5.6,(19K)
Borderlands,Comedy,1h 41m,4.7,(44K)
Deadpool & Wolverine,Comedy,2h 8m,7.6,(478K)
The Ministry of Ungentlemanly Warfare,Comedy,2h 2m,6.8,(131K)
Civil War,Comedy,1h 49m,7.0,(231K)
The Count of Monte-Cristo,Comedy,2h 58m,7.6,(32K)
Twisters,Comedy,2h 2m,6.5,(159K)
Carry-On,Comedy,1h 59m,6.5,(158K)
The Crow,Comedy,1h 51m,4.7,(32K)
Marco,Comedy,2h 25m,7.0,(20K)
The Fall Guy,Comedy,2h 6m,6.8,(215K)
The Beekeeper,Comedy,1h 45m,6.3,(152K)
Kingdom of the Planet of the Apes,Comedy,2h 25m,6.9,(149K)
Madame Web,Comedy,1h 56m,4.0,(99K)
Homestead,Comedy,1h 52m,5.4,(3.2K)
Rebel Ridge,Comedy,2h 11m,6.8,(85K)
Red One,Comedy,2h 3m,6.3,(137K)
Thelma,Comedy,1h 38m,7.0,(21K)
Hellboy: The Crooked Man,Comedy,1h 39m,4.5,(12K)
Old Guy,Comedy,1h 34m,5.1,(1.5K)
Road House,Comedy,2h 1m,6.2,(165K)
Transformers One,Comedy,1h 44m,7.6,(47K)
Attack on Titan the Movie: The Last Attack,Comedy,2h 25m,9.3,(14K)
Bad Boys: Ride or Die,Comedy,1h 55m,6.5,(98K)
Argylle,Comedy,2h 19m,5.6,(91K)
Damsel,Comedy,1h 50m,6.1,(108K)
Solo Leveling: ReAwakening,Comedy,2h 1m,8.7,(6K)
Monkey Man,Comedy,2h 1m,6.8,(90K)
Love Lies Bleeding,Comedy,1h 44m,6.6,(55K)
Aftermath,Comedy,1h 37m,5.1,(3.3K)
Godzilla x Kong: The New Empire,Comedy,1h 55m,6.1,(119K)
Baby John,Comedy,2h 39m,5.4,(17K)
The Union,Comedy,1h 47m,5.4,(52K)
Freaky Tales,Comedy,1h 46m,6.5,(362)
Land of Bad,Comedy,1h 53m,6.6,(50K)
The Killer's Game,Comedy,1h 44m,5.7,(16K)
Absolution,Comedy,1h 52m,5.2,(7.3K)
Azrael,Comedy,1h 26m,5.4,(10K)
Drive-Away Dolls,Comedy,1h 24m,5.4,(23K)
Uglies,Comedy,1h 40m,4.7,(32K)
Blitz,Comedy,2h,6.2,(15K)
Arcadian,Comedy,1h 32m,5.5,(22K)
Werewolves,Comedy,1h 33m,4.4,(5.9K)
Kung Fu Panda 4,Comedy,1h 34m,6.3,(66K)
Descendants: The Rise of Red,Comedy,1h 31m,4.7,(6.9K)
The Killer,Comedy,2h 6m,5.7,(12K)
Lift,Comedy,1h 47m,5.5,(49K)
Beverly Hills Cop: Axel F,Comedy,1h 58m,6.4,(80K)
The Instigators,Comedy,1h 41m,6.2,(37K)
Weekend in Taipei,Comedy,1h 40m,5.7,(4.3K)
Apocalypse Z: The Beginning of the End,Comedy,1h 57m,6.1,(19K)
Brothers,Comedy,1h 29m,5.4,(13K)
Maharaja,Comedy,2h 21m,8.4,(65K)
11 Rebels,Comedy,2h 35m,6.2,(230)
Hagen,Comedy,2h 19m,6.1,(949)
Canary Black,Comedy,1h 41m,5.4,(11K)
Watchmen: Chapter I,Comedy,1h 23m,7.0,(6.2K)
Atlas,Comedy,1h 58m,5.6,(55K)
Long Gone Heroes,Comedy,1h 41m,5.2,(940)
The Silent Hour,Comedy,1h 39m,6.1,(6.9K)
Kalki 2898-AD,Comedy,3h,7.0,(66K)
Dirty Angels,Comedy,1h 44m,4.3,(3.1K)
Hitpig,Comedy,1h 26m,5.1,(812)
The Shadow Strays,Comedy,2h 24m,6.5,(8.9K)
Classified,Comedy,1h 45m,3.7,(2.2K)
Survive,Comedy,1h 30m,4.6,(2K)
Rebel Moon - Part Two: The Scargiver,Comedy,2h 2m,5.3,(59K)
Cash Out,Comedy,1h 32m,4.8,(2.8K)
Jackpot!,Comedy,1h 46m,5.8,(30K)
Dominique,Comedy,1h 40m,5.2,(2.1K)
Twilight of the Warriors: Walled In,Comedy,2h 6m,7.0,(8.8K)
Trigger Warning,Comedy,1h 46m,4.6,(19K)
Under Paris,Comedy,1h 44m,5.2,(36K)
Gunner,Comedy,1h 46m,3.2,(2.3K)
No Way Up,Comedy,1h 30m,4.6,(10K)
Boneyard,Comedy,1h 36m,4.1,(4.8K)
Watchmen: Chapter II,Comedy,1h 30m,7.0,(2.7K)
Death Whisperer 2,Comedy,1h 50m,6.4,(1.2K)
Armor,Comedy,1h 29m,3.5,(3.6K)
Megamind vs. The Doom Syndicate,Comedy,1h 23m,2.5,(5.4K)
Night Call,Comedy,1h 37m,6.8,(1.7K)
Aavesham,Comedy,2h 35m,7.8,(27K)
Panda Plan,Comedy,1h 39m,5.1,(1.1K)
Agents,Comedy,1h 22m,3.8,(866)
Red Right Hand,Comedy,1h 51m,5.5,(5.7K)
Damaged,Comedy,1h 37m,4.7,(7.1K)
Levels,Comedy,1h 33m,5.0,(1.4K)
River of Blood,Comedy,1h 26m,5.4,(1.5K)
Role Play,Comedy,1h 40m,5.5,(19K)
Max,Comedy,2h 12m,7.2,(3.2K)
Take Cover,Comedy,1h 30m,5.1,(2.3K)
Harbin,Comedy,1h 48m,6.6,(464)
Amaran,Comedy,2h 47m,8.2,(18K)
Chief of Station,Comedy,1h 37m,4.7,(4.3K)
My Hero Academia: You're Next,Comedy,1h 50m,7.0,(1.9K)
Trouble,Comedy,1h 38m,6.2,(6.6K)
My Spy: The Eternal City,Comedy,1h 52m,5.7,(11K)
Sunray: Fallen Soldier,Comedy,1h 55m,4.3,(574)
Joe Baby,Comedy,1h 26m,8.2,(24)
Uprising,Comedy,2h 6m,6.6,(5.3K)
Elyas,Comedy,1h 45m,6.1,(1.2K)
Dark Match,Comedy,1h 34m,5.5,(812)
The Thundermans Return,Comedy,1h 10m,5.0,(1.8K)
Deep Six,Comedy,1h 34m,3.4,(210)
Code 8: Part II,Comedy,1h 40m,5.7,(16K)
The Fix,Comedy,1h 38m,4.6,(1.1K)
Singham Again,Comedy,2h 24m,4.8,(75K)
Rifle Club,Comedy,1h 53m,7.0,(3.9K)
Simarik,Comedy,1h 51m,6.4,(2.3K)
Hounds of War,Comedy,1h 35m,4.5,(1.7K)
Sikandar ka Muqaddar,Comedy,2h 22m,6.0,(24K)
Drive Back,Comedy,1h 34m,4.7,(286)
Rats!,Comedy,1h 25m,8.2,(74)
Justice League: Crisis on Infinite Earths - Part One,Comedy,1h 33m,6.2,(8.3K)
Prey,Comedy,1h 26m,3.7,(3.2K)
Badland Hunters,Comedy,1h 47m,5.9,(12K)
The Lost Tiger,Comedy,1h 30m,7.8,(31)
The Courier,Comedy,1h 41m,6.0,(4.3K)
The Roundup: Punishment,Comedy,1h 49m,6.6,(5K)
Raayan,Comedy,2h 25m,6.5,(11K)
Darkness of Man,Comedy,1h 49m,4.8,(3.1K)
Cells at Work!,Comedy,1h 49m,6.8,(157)
Officer Black Belt,Comedy,1h 48m,6.8,(7.9K)
The Prosecutor,Comedy,1h 57m,6.8,(1.3K)
Duchess,Comedy,1h 54m,4.6,(1.2K)
Justice League: Crisis on Infinite Earths - Part Three,Comedy,1h 34m,6.1,(4.3K)
