,Title,Genre,Duration,Rating,Votes
0,Dune: Part Two,Horror,2h 46m,8.5,(610K)
1,Venom: The Last Dance,Horror,1h 50m,6.0,(105K)
2,Gladiator II,Horror,2h 28m,6.6,(213K)
3,Sonic the Hedgehog 3,Horror,1h 50m,6.9,(51K)
4,The Lord of the Rings: The War of the Rohirrim,Horror,2h 14m,6.3,(27K)
5,William Tell,Horror,2h 13m,5.8,(1.4K)
6,Kraven the Hunter,Horror,2h 7m,5.4,(42K)
7,Pushpa: The Rule - Part 2,Horror,3h 21m,6.1,(53K)
8,Furiosa: A Mad Max Saga,Horror,2h 28m,7.5,(278K)
9,Elevation,Horror,1h 31m,5.6,(19K)
10,Borderlands,Horror,1h 41m,4.7,(44K)
11,Deadpool & Wolverine,Horror,2h 8m,7.6,(478K)
12,The Ministry of Ungentlemanly Warfare,Horror,2h 2m,6.8,(131K)
13,Civil War,Horror,1h 49m,7.0,(231K)
14,The Count of Monte-Cristo,Horror,2h 58m,7.6,(32K)
15,Twisters,Horror,2h 2m,6.5,(159K)
16,Carry-On,Horror,1h 59m,6.5,(158K)
17,The Crow,Horror,1h 51m,4.7,(32K)
18,Marco,Horror,2h 25m,7.0,(20K)
19,The Fall Guy,Horror,2h 6m,6.8,(215K)
20,The Beekeeper,Horror,1h 45m,6.3,(152K)
21,Kingdom of the Planet of the Apes,Horror,2h 25m,6.9,(149K)
22,Madame Web,Horror,1h 56m,4.0,(99K)
23,Homestead,Horror,1h 52m,5.4,(3.2K)
24,Rebel Ridge,Horror,2h 11m,6.8,(85K)
25,Red One,Horror,2h 3m,6.3,(137K)
26,Thelma,Horror,1h 38m,7.0,(21K)
27,Hellboy: The Crooked Man,Horror,1h 39m,4.5,(12K)
28,Old Guy,Horror,1h 34m,5.1,(1.5K)
29,Road House,Horror,2h 1m,6.2,(165K)
30,Transformers One,Horror,1h 44m,7.6,(47K)
31,Attack on Titan the Movie: The Last Attack,Horror,2h 25m,9.3,(14K)
32,Bad Boys: Ride or Die,Horror,1h 55m,6.5,(98K)
33,Argylle,Horror,2h 19m,5.6,(91K)
34,Damsel,Horror,1h 50m,6.1,(108K)
35,Solo Leveling: ReAwakening,Horror,2h 1m,8.7,(6K)
36,Monkey Man,Horror,2h 1m,6.8,(90K)
37,Love Lies Bleeding,Horror,1h 44m,6.6,(55K)
38,Aftermath,Horror,1h 37m,5.1,(3.3K)
39,Godzilla x Kong: The New Empire,Horror,1h 55m,6.1,(119K)
40,Baby John,Horror,2h 39m,5.4,(17K)
41,The Union,Horror,1h 47m,5.4,(52K)
42,Freaky Tales,Horror,1h 46m,6.5,(362)
43,Land of Bad,Horror,1h 53m,6.6,(50K)
44,The Killer's Game,Horror,1h 44m,5.7,(16K)
45,Absolution,Horror,1h 52m,5.2,(7.3K)
46,Azrael,Horror,1h 26m,5.4,(10K)
47,Drive-Away Dolls,Horror,1h 24m,5.4,(23K)
48,Uglies,Horror,1h 40m,4.7,(32K)
49,Blitz,Horror,2h,6.2,(15K)
50,Arcadian,Horror,1h 32m,5.5,(22K)
51,Werewolves,Horror,1h 33m,4.4,(5.9K)
52,Kung Fu Panda 4,Horror,1h 34m,6.3,(66K)
53,Descendants: The Rise of Red,Horror,1h 31m,4.7,(6.9K)
54,The Killer,Horror,2h 6m,5.7,(12K)
55,Lift,Horror,1h 47m,5.5,(49K)
56,Beverly Hills Cop: Axel F,Horror,1h 58m,6.4,(80K)
57,The Instigators,Horror,1h 41m,6.2,(37K)
58,Weekend in Taipei,Horror,1h 40m,5.7,(4.3K)
59,Apocalypse Z: The Beginning of the End,Horror,1h 57m,6.1,(19K)
60,Brothers,Horror,1h 29m,5.4,(13K)
61,Maharaja,Horror,2h 21m,8.4,(65K)
62,11 Rebels,Horror,2h 35m,6.2,(230)
63,Hagen,Horror,2h 19m,6.1,(949)
64,Canary Black,Horror,1h 41m,5.4,(11K)
65,Watchmen: Chapter I,Horror,1h 23m,7.0,(6.2K)
66,Atlas,Horror,1h 58m,5.6,(55K)
67,Long Gone Heroes,Horror,1h 41m,5.2,(940)
68,The Silent Hour,Horror,1h 39m,6.1,(6.9K)
69,Kalki 2898-AD,Horror,3h,7.0,(66K)
70,Dirty Angels,Horror,1h 44m,4.3,(3.1K)
71,Hitpig,Horror,1h 26m,5.1,(812)
72,The Shadow Strays,Horror,2h 24m,6.5,(8.9K)
73,Classified,Horror,1h 45m,3.7,(2.2K)
74,Survive,Horror,1h 30m,4.6,(2K)
75,Rebel Moon - Part Two: The Scargiver,Horror,2h 2m,5.3,(59K)
76,Cash Out,Horror,1h 32m,4.8,(2.8K)
77,Jackpot!,Horror,1h 46m,5.8,(30K)
78,Dominique,Horror,1h 40m,5.2,(2.1K)
79,Twilight of the Warriors: Walled In,Horror,2h 6m,7.0,(8.8K)
80,Trigger Warning,Horror,1h 46m,4.6,(19K)
81,Under Paris,Horror,1h 44m,5.2,(36K)
82,Gunner,Horror,1h 46m,3.2,(2.3K)
83,No Way Up,Horror,1h 30m,4.6,(10K)
84,Boneyard,Horror,1h 36m,4.1,(4.8K)
85,Watchmen: Chapter II,Horror,1h 30m,7.0,(2.7K)
86,Death Whisperer 2,Horror,1h 50m,6.4,(1.2K)
87,Armor,Horror,1h 29m,3.5,(3.6K)
88,Megamind vs. The Doom Syndicate,Horror,1h 23m,2.5,(5.4K)
89,Night Call,Horror,1h 37m,6.8,(1.7K)
90,Aavesham,Horror,2h 35m,7.8,(27K)
91,Panda Plan,Horror,1h 39m,5.1,(1.1K)
92,Agents,Horror,1h 22m,3.8,(866)
93,Red Right Hand,Horror,1h 51m,5.5,(5.7K)
94,Damaged,Horror,1h 37m,4.7,(7.1K)
95,Levels,Horror,1h 33m,5.0,(1.4K)
96,River of Blood,Horror,1h 26m,5.4,(1.5K)
97,Role Play,Horror,1h 40m,5.5,(19K)
98,Max,Horror,2h 12m,7.2,(3.2K)
99,Take Cover,Horror,1h 30m,5.1,(2.3K)
100,Harbin,Horror,1h 48m,6.6,(464)
101,Amaran,Horror,2h 47m,8.2,(18K)
102,Chief of Station,Horror,1h 37m,4.7,(4.3K)
103,My Hero Academia: You're Next,Horror,1h 50m,7.0,(1.9K)
104,Trouble,Horror,1h 38m,6.2,(6.6K)
105,My Spy: The Eternal City,Horror,1h 52m,5.7,(11K)
106,Sunray: Fallen Soldier,Horror,1h 55m,4.3,(574)
107,Joe Baby,Horror,1h 26m,8.2,(24)
108,Uprising,Horror,2h 6m,6.6,(5.3K)
109,Elyas,Horror,1h 45m,6.1,(1.2K)
110,Dark Match,Horror,1h 34m,5.5,(812)
111,The Thundermans Return,Horror,1h 10m,5.0,(1.8K)
112,Deep Six,Horror,1h 34m,3.4,(210)
113,Code 8: Part II,Horror,1h 40m,5.7,(16K)
114,The Fix,Horror,1h 38m,4.6,(1.1K)
115,Singham Again,Horror,2h 24m,4.8,(75K)
116,Rifle Club,Horror,1h 53m,7.0,(3.9K)
117,Simarik,Horror,1h 51m,6.4,(2.3K)
118,Hounds of War,Horror,1h 35m,4.5,(1.7K)
119,Sikandar ka Muqaddar,Horror,2h 22m,6.0,(24K)
120,Drive Back,Horror,1h 34m,4.7,(286)
121,Rats!,Horror,1h 25m,8.2,(74)
122,Justice League: Crisis on Infinite Earths - Part One,Horror,1h 33m,6.2,(8.3K)
123,Prey,Horror,1h 26m,3.7,(3.2K)
124,Badland Hunters,Horror,1h 47m,5.9,(12K)
125,The Lost Tiger,Horror,1h 30m,7.8,(31)
126,The Courier,Horror,1h 41m,6.0,(4.3K)
127,The Roundup: Punishment,Horror,1h 49m,6.6,(5K)
128,Raayan,Horror,2h 25m,6.5,(11K)
129,Darkness of Man,Horror,1h 49m,4.8,(3.1K)
130,Cells at Work!,Horror,1h 49m,6.8,(157)
131,Officer Black Belt,Horror,1h 48m,6.8,(7.9K)
132,The Prosecutor,Horror,1h 57m,6.8,(1.3K)
133,Duchess,Horror,1h 54m,4.6,(1.2K)
134,Justice League: Crisis on Infinite Earths - Part Three,Horror,1h 34m,6.1,(4.3K)
135,The Price of Money: A Largo Winch Adventure,Horror,1h 40m,5.1,(1K)
136,The Wages of Fear,Horror,1h 44m,4.6,(4K)
137,Bougainvillea,Horror,2h 18m,6.4,(3K)
138,The Quiet Ones,Horror,1h 50m,6.5,(502)
139,Pani,Horror,2h 23m,6.9,(2.7K)
140,The Tiger's Apprentice,Horror,1h 24m,5.8,(2.1K)
141,Arena Wars,Horror,1h 36m,5.0,(2K)
142,Devara Part 1,Horror,2h 56m,6.0,(20K)
143,Karma,Horror,2h 47m,8.1,(1.4K)
144,City Hunter,Horror,1h 42m,6.3,(5.5K)
145,"I, the Executioner",Horror,1h 58m,6.3,(1.5K)
146,One Fast Move,Horror,1h 48m,5.0,(2.2K)
147,One More Shot,Horror,1h 43m,5.4,(3.5K)
148,Golden Kamuy,Horror,2h 7m,6.3,(2.5K)
149,Utopia,Horror,1h 31m,3.7,(335)
150,Cloud,Horror,2h 3m,6.3,(882)
151,Fight Another Day,Horror,1h 37m,5.1,(320)
152,Article 370,Horror,2h 38m,7.8,(24K)
153,Air Force One Down,Horror,1h 24m,4.4,(2.8K)
154,Lights Out,Horror,1h 30m,4.9,(1.7K)
155,Ultraman: Rising,Horror,1h 57m,6.9,(6.2K)
156,200% Wolf,Horror,1h 38m,6.0,(1.3K)
157,Fighter,Horror,2h 46m,6.2,(52K)
158,Life After Fighting,Horror,2h 6m,6.4,(1.9K)
159,Continental Split,Horror,1h 28m,3.5,(531)
160,Die Hart: Die Harter,Horror,1h 32m,4.3,(5.4K)
161,The Family Star,Horror,2h 39m,5.4,(5.4K)
162,Zero,Horror,1h 28m,6.1,(37)
163,Angels Fallen: Warriors of Peace,Horror,1h 43m,4.9,(5.8K)
164,Latency,Horror,1h 34m,4.2,(1.7K)
165,Kill Em All 2,Horror,1h 28m,4.1,(1.3K)
166,Echo 8,Horror,1h 36m,5.5,(156)
167,Agent Recon,Horror,1h 25m,2.4,(656)
168,Dan Da Dan: First Encounter,Horror,1h 23m,8.2,(2.5K)
169,Murder Company,Horror,1h 26m,3.6,(1.5K)
170,Ferry 2,Horror,1h 34m,5.6,(3.7K)
171,Operation Blood Hunt,Horror,1h 33m,3.4,(453)
172,Freedom,Horror,1h 50m,5.9,(1.3K)
173,Get Fast,Horror,1h 28m,3.6,(432)
174,Hijack 1971,Horror,1h 40m,6.8,(3.2K)
175,Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Horror,2h 54m,8.2,(642)
176,Anaconda,Horror,1h 24m,4.9,(599)
177,Alien: Rubicon,Horror,1h 26m,2.4,(327)
178,A Legend,Horror,2h 9m,4.7,(852)
179,Alangu,Horror,2h 11m,8.3,(1.1K)
180,Wynonna Earp: Vengeance,Horror,1h 36m,5.6,(1.5K)
181,Jigra,Horror,2h 33m,6.0,(23K)
182,Striking Rescue,Horror,1h 46m,5.7,(317)
183,Diabel,Horror,1h 48m,5.1,(192)
184,The Clean Up Crew,Horror,1h 35m,4.1,(1.1K)
185,The Hangman,Horror,1h 32m,3.3,(983)
186,Justice League: Crisis on Infinite Earths - Part Two,Horror,1h 34m,5.5,(5.2K)
187,Invasion,Horror,1h 31m,4.8,(662)
188,Savi,Horror,2h 6m,6.2,(35K)
189,Spiders on a Plane,Horror,1h 18m,5.9,(358)
190,Agni,Horror,2h 2m,7.3,(15K)
191,Revolver,Horror,1h 54m,5.4,(815)
192,Terminator: Skynet Rising,Horror,1h 28m,6.8,(257)
193,Hanu Man,Horror,2h 38m,7.7,(29K)
194,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Horror,1h 44m,7.1,(8.2K)
195,Sixty Minutes,Horror,1h 28m,5.7,(5.1K)
196,Escape,Horror,1h 34m,6.4,(1.9K)
197,Murder at Hollow Creek,Horror,N/A,4.2,(77)
198,The Last Kumite,Horror,1h 45m,4.6,(2.3K)
199,London Calling,Horror,1h 49m,6.5,(8)
200,Outlaw,Horror,1h 22m,5.2,(897)
201,The Greatest of All Time,Horror,3h 3m,5.8,(22K)
202,Overlord: The Sacred Kingdom,Horror,2h 15m,7.0,(693)
203,72 Hours,Horror,1h 27m,4.1,(279)
204,Cassino in Ischia,Horror,1h 53m,4.4,(229)
205,Vettaiyan,Horror,2h 43m,7.0,(39K)
206,Baby Invasion,Horror,1h 20m,5.4,(51)
207,Heart of the Hunter,Horror,1h 45m,4.7,(2.1K)
208,Alienoid: The Return to the Future,Horror,2h 2m,6.5,(2.5K)
209,Handsome Guys,Horror,1h 41m,6.5,(738)
210,Snow White and the Seven Samurai,Horror,1h 28m,3.2,(259)
211,Operation Undead,Horror,1h 50m,4.6,(346)
212,Wanted Man,Horror,1h 25m,4.8,(2.5K)
213,Razakar: The Silent Genocide of Hyderabad,Horror,2h 46m,7.4,(5.2K)
214,"Love, Courage and the Battle of Bushy Run",Horror,1h 53m,5.0,(168)
215,Bagheera,Horror,2h 38m,6.7,(7.2K)
216,Kingdom 4: Return of the Great General,Horror,2h 25m,7.1,(1.2K)
217,The Lockdown,Horror,1h 57m,4.3,(593)
218,War of the Worlds: Extinction,Horror,1h 24m,3.0,(170)
219,Ryan's World the Movie: Titan Universe Adventure,Horror,1h 20m,1.8,(629)
220,Viduthalai Part 2,Horror,2h 50m,8.0,(15K)
221,GTMax,Horror,1h 40m,5.0,(1.2K)
222,Yodha,Horror,2h 10m,5.7,(8.8K)
223,The Last Front,Horror,1h 38m,5.5,(596)
224,Mura,Horror,2h 9m,7.3,(6.2K)
225,The Last Ronin,Horror,2h 1m,4.9,(218)
226,Vanvaas,Horror,2h 40m,6.7,(1K)
227,Nice Girls,Horror,1h 32m,4.2,(1.2K)
228,The Ballad of Davy Crockett,Horror,1h 36m,4.6,(242)
229,12 Gaun,Horror,2h 27m,6.3,(862)
230,Saripodhaa Sanivaaram,Horror,2h 46m,7.0,(8.8K)
231,Chandu Champion,Horror,2h 22m,7.8,(34K)
232,Sunset Superman,Horror,1h 21m,6.1,(141)
233,Everybody Loves Jenifa,Horror,2h 15m,8.4,(77)
234,Thangalaan,Horror,2h 36m,6.6,(6.5K)
235,Kanguva,Horror,2h 32m,4.6,(14K)
236,Je jatt Vigarh gya,Horror,2h 12m,5.7,(811)
237,Guntur Karam,Horror,2h 39m,5.4,(25K)
238,A.R.M,Horror,2h 30m,7.1,(8.5K)
239,Vedaa,Horror,2h 25m,6.0,(4.2K)
240,Devaki Nandana Vasudeva,Horror,2h 8m,8.9,(2.7K)
241,Rogue Elements: A Ryan Drake Story,Horror,44m,4.9,(911)
242,Memes & Nightmares,Horror,1h 21m,5.7,(71)
243,12 to Midnight,Horror,1h 36m,3.6,(270)
244,Mission: Cross,Horror,1h 45m,6.1,(2.5K)
245,Roadkill,Horror,1h 30m,3.6,(671)
246,Sobanggwan,Horror,1h 46m,5.9,(140)
247,Escape from the 21st Century,Horror,1h 38m,6.5,(797)
248,UI,Horror,2h 15m,6.9,(5.6K)
249,Bachhala Malli,Horror,2h 20m,8.3,(3.9K)
250,Lady Scorpions,Horror,1h 41m,3.6,(360)
251,How to Rob a Bank,Horror,1h 28m,6.6,(4.1K)
252,Shark Warning,Horror,1h 34m,3.4,(245)
253,Alien Country,Horror,1h 36m,4.4,(347)
254,WWII: Operation Phoenix,Horror,1h 46m,6.7,(61)
255,Khadaan,Horror,2h 17m,7.4,(1.9K)
256,Bionic,Horror,1h 50m,4.3,(1.7K)
257,The Bouncer,Horror,1h 18m,4.3,(80)
258,Mother Mafia,Horror,1h 20m,3.3,(46)
259,Martin,Horror,2h 27m,2.3,(36K)
260,Kuang Bao Ju Xi,Horror,1h 15m,6.2,(66)
261,Sector 17,Horror,2h 26m,7.4,(1.3K)
262,Yolo,Horror,2h 9m,6.9,(3.6K)
263,Bade Miyan Chote Miyan,Horror,2h 43m,3.8,(39K)
264,Baby Assassins: Nice Days,Horror,1h 43m,7.3,(263)
265,The Twisters,Horror,1h 26m,2.5,(314)
266,Hattichhap,Horror,N/A,8.8,(747)
267,Hunting with Tigers,Horror,1h 49m,5.6,(500)
268,Devil's Knight,Horror,1h 30m,5.3,(758)
269,Rob N Roll,Horror,1h 38m,6.1,(1.4K)
270,Bureau 749,Horror,2h 3m,4.1,(495)
271,Auron Mein Kahan Dum Tha,Horror,2h 30m,6.6,(40K)
272,40 Acres,Horror,1h 53m,6.3,(96)
273,Toofan,Horror,2h 25m,7.1,(6.1K)
274,Black Creek,Horror,1h 56m,N/A,N/A
275,Citizen of a Kind,Horror,1h 54m,6.7,(765)
276,Pimpinero: Blood and Oil,Horror,2h 1m,5.7,(533)
277,Ka Whawhai Tonu,Horror,1h 55m,7.4,(169)
278,Mu zhong wu ren 2,Horror,1h 30m,6.5,(475)
279,The Friendly,Horror,1h 41m,8.1,(15)
280,S.T.A.L.K.E.R.: Shadow of the Zone,Horror,1h 12m,5.2,(446)
281,Hellhound,Horror,1h 43m,4.3,(481)
282,School of Magical Animals 3,Horror,1h 45m,5.8,(292)
283,Paradise,Horror,1h 23m,6.9,(77)
284,Mummy Shark,Horror,1h 6m,2.0,(165)
285,Bonus Trip,Horror,1h 53m,4.5,(215)
286,Agastya - Chapter 1,Horror,2h 48m,6.9,(576)
287,Kahar: Kapla High Council,Horror,1h 42m,6.9,(437)
288,The Day Everything Changed,Horror,1h 37m,7.9,(77)
289,Deaner '89,Horror,1h 30m,5.9,(410)
290,Zebra,Horror,2h 44m,8.0,(3.2K)
291,Bangkok Breaking: Fa Narok Mueang Thewada,Horror,2h 26m,5.8,(651)
292,The Actor,Horror,2h 8m,3.3,(720)
293,The Last of Us: Immunity,Horror,1h 4m,6.4,(12)
294,Indian 2,Horror,N/A,3.9,(16K)
295,Son's Will,Horror,N/A,7.4,(831)
296,Tillu Square,Horror,2h 17m,6.6,(3.4K)
297,Crakk - Jeethegaa Toh Jiyegaa!,Horror,2h 34m,4.7,(6.4K)
298,Captain Miller,Horror,2h 37m,6.5,(8.6K)
299,The Charisma Killers,Horror,1h 41m,6.0,(506)
300,Siren,Horror,2h 34m,6.4,(2.9K)
301,Reapers,Horror,N/A,8.7,(572)
302,Yudhra,Horror,2h 22m,5.0,(13K)
303,Ayalaan,Horror,2h 35m,6.0,(3.9K)
304,Orang Ikan,Horror,1h 23m,6.5,(31)
305,Timuchin,Horror,N/A,6.2,(16)
306,Mr. Bachchan,Horror,2h 30m,3.6,(5.2K)
307,Sorgavaasal,Horror,2h 18m,6.6,(1.3K)
308,Taklee Genesis x Worlds Collide,Horror,2h 26m,5.5,(381)
309,Non Negotiable,Horror,1h 27m,5.4,(1.2K)
310,Witch Hunter,Horror,1h 20m,5.1,(21)
311,Barroz,Horror,2h 35m,3.6,(931)
312,The Kingdom,Horror,2h 13m,7.9,(84)
313,(Pri)sons,Horror,1h 40m,5.0,(246)
314,Bangkok Dog,Horror,1h 25m,6.4,(94)
315,Crisis Negotiators,Horror,2h,6.7,(690)
316,My Redneck Neighbor: Chapter 2 - Let the Games Begin,Horror,55m,N/A,N/A
317,Sheriff,Horror,2h 13m,6.9,(1.1K)
318,The Miranda Brothers,Horror,1h 39m,4.4,(185)
319,Sasan,Horror,2h 35m,8.5,(61)
320,I Heart Robots,Horror,1h 16m,4.6,(2.3K)
321,Baki Hanma VS Kengan Ashura,Horror,1h 2m,5.7,(1.9K)
322,Bidurbhai,Horror,2h 28m,9.2,(373)
323,Troubleshooters,Horror,1h 50m,6.4,(397)
324,Xiong Shi Shao Nian 2,Horror,2h 14m,7.5,(181)
325,Fyre Rises,Horror,1h 50m,6.5,(321)
326,Art of Eight Limbs,Horror,1h 41m,4.0,(302)
327,Eagle,Horror,2h 39m,5.9,(4.9K)
328,KA,Horror,2h 31m,7.2,(1.5K)
329,No Time to Spy: A Loud House Movie,Horror,1h 21m,6.4,(431)
330,Kamen Rider 555 20th: Paradise Regained,Horror,1h 5m,5.9,(138)
331,Big Rage,Horror,1h 55m,3.7,(147)
332,Guy Manley: Super Spy,Horror,1h 32m,4.5,(115)
333,Thundu,Horror,2h 5m,5.0,(897)
334,Garudan,Horror,2h 13m,7.1,(3.3K)
335,Gandhi 3,Horror,2h 23m,5.5,(229)
336,My Fathers' Daughter,Horror,1h 18m,6.6,(68)
337,Mobile Suit Gundam SEED Freedom,Horror,2h 4m,6.6,(921)
338,Zui hou yi quan,Horror,1h 47m,5.6,(13)
339,American Warrior,Horror,1h 29m,8.8,(23)
340,Sayen: The Huntress,Horror,1h 28m,4.4,(249)
341,Love You to Debt,Horror,2h 15m,6.2,(744)
342,Clone Cops,Horror,1h 36m,8.1,(185)
343,The Omicron Killer,Horror,1h 38m,2.9,(593)
344,Kaveri,Horror,1h 41m,9.1,(1.5K)
345,Double iSmart,Horror,2h 36m,2.9,(2.1K)
346,Nothing Even Matters,Horror,1h 30m,5.3,(70)
347,Anunnakiler,Horror,1h 16m,2.6,(424)
348,Warrior Awang and Master Tok Gajah,Horror,1h 58m,4.6,(472)
349,Pottel,Horror,2h 28m,8.3,(2.7K)
350,Aserb: The Squadron,Horror,2h,5.2,(295)
351,Ape X Mecha Ape: New World Order,Horror,1h 27m,2.7,(126)
352,Drive,Horror,1h 30m,5.6,(309)
353,Deadzone,Horror,1h 20m,4.2,(33)
354,Mission: Chapter 1,Horror,2h 24m,5.9,(1.7K)
355,They Call Her Death,Horror,1h 32m,6.2,(22)
356,Dange,Horror,2h 34m,5.4,(785)
357,Midas,Horror,1h 25m,4.6,(331)
358,Bohurupi,Horror,2h 35m,8.3,(1.4K)
359,Bhaiyya Ji,Horror,2h 30m,4.8,(7.3K)
360,Fighting the Fire,Horror,1h 55m,8.6,(1.7K)
361,Lisabi: The Uprising,Horror,1h 47m,6.4,(121)
362,Umro Ayyar - A New Beginning,Horror,2h 15m,6.9,(669)
363,Rode College,Horror,2h 48m,6.6,(421)
364,Codename: Devil,Horror,1h 44m,N/A,N/A
365,Sucha Soorma,Horror,2h 16m,6.5,(905)
366,The Unbreakable Bunch,Horror,N/A,7.4,(24)
367,Black Heat,Horror,1h 33m,7.8,(19)
368,Hunt the Wicked,Horror,1h 42m,5.2,(104)
369,Ten Toes Down,Horror,N/A,8.0,(31)
370,Road Wars: Max Fury,Horror,1h 23m,2.0,(349)
371,Prepare to Die,Horror,1h 33m,4.6,(228)
372,Nu Huo 12 Xiao Shi,Horror,1h 26m,6.1,(42)
373,Rendel: Cycle of Revenge,Horror,1h 39m,3.6,(241)
374,Kizumonogatari: Koyomi Vamp,Horror,2h 24m,6.9,(79)
375,Anchakkallakokkan,Horror,2h 6m,6.6,(998)
376,Ship of the Damned,Horror,1h 28m,2.8,(293)
377,Conquer: Lahad Datu,Horror,2h,6.7,(493)
378,24 Hours to D-Day,Horror,1h 23m,5.0,(29)
379,Mirza: Part 1 - Joker,Horror,2h 45m,6.8,(236)
380,Snatched,Horror,1h 41m,4.9,(204)
381,Kondal,Horror,2h 27m,5.4,(761)
382,6 Hours Away,Horror,1h 33m,3.9,(238)
383,In Tenebras: Into the Darkness,Horror,1h 30m,3.2,(171)
384,Cesium Fallout,Horror,2h 16m,6.7,(406)
385,Where Is Gilgamesh?,Horror,1h 30m,9.0,(603)
386,Kadakan,Horror,2h 8m,4.0,(110)
387,Big City Greens the Movie: Spacecation,Horror,N/A,6.2,(528)
388,The Epidemic,Horror,1h 35m,5.8,(68)
389,Yuva,Horror,2h 33m,5.8,(833)
390,How to Make a Werewolf,Horror,N/A,5.6,(82)
391,Team of Two,Horror,N/A,5.1,(106)
392,Rang De Basanti,Horror,2h 54m,8.8,(144)
393,Ballistic,Horror,1h 35m,2.3,(161)
394,Camp Blood: Clown Shark,Horror,1h 10m,3.3,(82)
395,Turbo,Horror,2h 35m,5.9,(3.5K)
396,The Mick and the Trick,Horror,1h 36m,5.0,(75)
397,What Happens in Miami,Horror,1h 30m,4.3,(218)
398,Buddy,Horror,2h 17m,3.8,(338)
399,Operation Hope,Horror,N/A,7.0,(22)
