,TITLE,DURATION,RATING,VOTING
0,Anora,2h 19m,7.6, (137K)
1,The Brutalist,3h 34m,7.5, (63K)
2,Emilia Pérez,2h 12m,5.4, (82K)
3,The Substance,2h 21m,7.3, (273K)
4,Conclave,2h,7.4, (126K)
5,A Complete Unknown,2h 21m,7.4, (55K)
6,A Real Pain,1h 30m,7.1, (71K)
7,I'm Still Here,2h 17m,8.5, (89K)
8,Flow,1h 25m,7.9, (52K)
9,Nosferatu,2h 12m,7.3, (174K)
10,Wicked,2h 40m,7.5, (139K)
11,The Apprentice,2h 2m,7.1, (48K)
12,No Other Land,1h 32m,8.3, (7.6K)
13,Nickel Boys,2h 20m,7.0, (15K)
14,Heretic,1h 51m,7.0, (113K)
15,Dune: Part Two,2h 46m,8.5, (609K)
16,Venom: The Last Dance,1h 50m,6.0, (104K)
17,Queen of the Ring,2h 20m,7.1, (567)
18,Gladiator II,2h 28m,6.6, (212K)
19,The Wild Robot,1h 42m,8.2, (148K)
20,Babygirl,1h 54m,6.0, (45K)
21,September 5,1h 35m,7.1, (18K)
22,Sonic the Hedgehog 3,1h 50m,6.9, (51K)
23,The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3, (26K)
24,Presence,1h 24m,6.2, (15K)
25,The Order,1h 56m,6.8, (36K)
26,Longlegs,1h 41m,6.6, (176K)
27,Mufasa: The Lion King,1h 58m,6.6, (46K)
28,Riff Raff,1h 43m,6.3, (686)
29,The Last Showgirl,1h 28m,6.5, (7.9K)
30,William Tell,2h 13m,5.8, (1.2K)
31,Kraven the Hunter,2h 7m,5.4, (41K)
32,It Ends with Us,2h 10m,6.4, (80K)
33,Pushpa: The Rule - Part 2,3h 21m,6.1, (53K)
34,Furiosa: A Mad Max Saga,2h 28m,7.5, (278K)
35,Elevation,1h 31m,5.6, (19K)
36,Despicable Me 4,1h 34m,6.2, (61K)
37,Blink Twice,1h 42m,6.5, (99K)
38,The Surfer,1h 43m,6.5, (573)
39,Borderlands,1h 41m,4.7, (44K)
40,Eden,2h,6.1, (776)
41,Paddington in Peru,1h 46m,6.7, (16K)
42,Better Man,2h 15m,7.6, (21K)
43,We Live in Time,1h 48m,7.0, (47K)
44,Saturday Night,1h 49m,6.9, (28K)
45,Deadpool & Wolverine,2h 8m,7.6, (477K)
46,Juror #2,1h 54m,7.0, (90K)
47,Alien: Romulus,1h 59m,7.1, (235K)
48,Parthenope,2h 17m,6.7, (8.2K)
49,The Ministry of Ungentlemanly Warfare,2h 2m,6.8, (131K)
