Title,Rating,Duration,Votes
Dune: Part Two,8.5,2h 46m, (610K)
Venom: The Last Dance,6.0,1h 50m, (105K)
Gladiator II,6.6,2h 28m, (213K)
Sonic the Hedgehog 3,6.9,1h 50m, (51K)
The Lord of the Rings: The War of the Rohirrim,6.3,2h 14m, (27K)
William Tell,5.8,2h 13m, (1.3K)
Kraven the Hunter,5.4,2h 7m, (41K)
Pushpa: The Rule - Part 2,6.1,3h 21m, (53K)
Furiosa: A Mad Max Saga,7.5,2h 28m, (278K)
Elevation,5.6,1h 31m, (19K)
Borderlands,4.7,1h 41m, (44K)
Deadpool & Wolverine,7.6,2h 8m, (477K)
The Ministry of Ungentlemanly Warfare,6.8,2h 2m, (131K)
Civil War,7.0,1h 49m, (231K)
The Count of Monte-Cristo,7.6,2h 58m, (32K)
Twisters,6.5,2h 2m, (159K)
Carry-On,6.5,1h 59m, (158K)
The Crow,4.7,1h 51m, (32K)
Marco,7.0,2h 25m, (19K)
The Fall Guy,6.8,2h 6m, (215K)
The Beekeeper,6.3,1h 45m, (152K)
Kingdom of the Planet of the Apes,6.9,2h 25m, (149K)
Madame Web,4.0,1h 56m, (99K)
Homestead,5.4,1h 52m, (3.2K)
Rebel Ridge,6.8,2h 11m, (85K)
Red One,6.3,2h 3m, (137K)
Thelma,7.0,1h 38m, (21K)
Hellboy: The Crooked Man,4.5,1h 39m, (12K)
Old Guy,5.1,1h 34m, (1.5K)
Road House,6.2,2h 1m, (165K)
Transformers One,7.6,1h 44m, (47K)
Attack on Titan the Movie: The Last Attack,9.3,2h 25m, (14K)
Bad Boys: Ride or Die,6.5,1h 55m, (97K)
Argylle,5.6,2h 19m, (91K)
Damsel,6.1,1h 50m, (108K)
Solo Leveling: ReAwakening,8.7,2h 1m, (5.9K)
Monkey Man,6.8,2h 1m, (90K)
Love Lies Bleeding,6.6,1h 44m, (55K)
Aftermath,5.1,1h 37m, (3.3K)
Godzilla x Kong: The New Empire,6.1,1h 55m, (119K)
Baby John,5.4,2h 39m, (16K)
The Union,5.4,1h 47m, (52K)
Freaky Tales,6.5,1h 46m, (361)
Land of Bad,6.6,1h 53m, (50K)
The Killer's Game,5.7,1h 44m, (16K)
Absolution,5.2,1h 52m, (7.3K)
Azrael,5.4,1h 26m, (10K)
Drive-Away Dolls,5.4,1h 24m, (23K)
Uglies,4.7,1h 40m, (32K)
Blitz,6.2,2h, (15K)
Arcadian,5.5,1h 32m, (22K)
Werewolves,4.4,1h 33m, (5.9K)
Kung Fu Panda 4,6.3,1h 34m, (66K)
Descendants: The Rise of Red,4.7,1h 31m, (6.9K)
The Killer,5.7,2h 6m, (12K)
Lift,5.5,1h 47m, (49K)
Beverly Hills Cop: Axel F,6.4,1h 58m, (80K)
The Instigators,6.2,1h 41m, (37K)
Weekend in Taipei,5.7,1h 40m, (4.3K)
Apocalypse Z: The Beginning of the End,6.1,1h 57m, (19K)
Brothers,5.4,1h 29m, (13K)
Maharaja,8.4,2h 21m, (65K)
11 Rebels,6.2,2h 35m, (224)
Hagen,6.1,2h 19m, (940)
Canary Black,5.3,1h 41m, (11K)
Watchmen: Chapter I,7.0,1h 23m, (6.2K)
Atlas,5.6,1h 58m, (55K)
Long Gone Heroes,5.2,1h 41m, (936)
The Silent Hour,6.1,1h 39m, (6.9K)
Kalki 2898-AD,7.0,3h, (66K)
Dirty Angels,4.3,1h 44m, (3.1K)
Hitpig,5.1,1h 26m, (807)
The Shadow Strays,6.5,2h 24m, (8.8K)
Classified,3.7,1h 45m, (2.2K)
Survive,4.6,1h 30m, (2K)
Rebel Moon - Part Two: The Scargiver,5.3,2h 2m, (59K)
Cash Out,4.8,1h 32m, (2.8K)
Jackpot!,5.8,1h 46m, (30K)
Dominique,5.2,1h 40m, (2.1K)
Twilight of the Warriors: Walled In,7.0,2h 6m, (8.8K)
Trigger Warning,4.6,1h 46m, (19K)
Under Paris,5.2,1h 44m, (36K)
Gunner,3.2,1h 46m, (2.3K)
No Way Up,4.6,1h 30m, (10K)
Boneyard,4.1,1h 36m, (4.8K)
Watchmen: Chapter II,7.0,1h 30m, (2.7K)
Death Whisperer 2,6.4,1h 50m, (1.2K)
Armor,3.5,1h 29m, (3.6K)
Megamind vs. The Doom Syndicate,2.5,1h 23m, (5.4K)
Night Call,6.8,1h 37m, (1.7K)
Aavesham,7.8,2h 35m, (27K)
Panda Plan,5.1,1h 39m, (1.1K)
Agents,3.8,1h 22m, (863)
Red Right Hand,5.4,1h 51m, (5.7K)
Damaged,4.7,1h 37m, (7.1K)
Levels,5.0,1h 33m, (1.4K)
River of Blood,5.4,1h 26m, (1.5K)
Role Play,5.5,1h 40m, (19K)
Max,7.2,2h 12m, (3.2K)
Take Cover,5.1,1h 30m, (2.3K)
Harbin,6.6,1h 48m, (462)
Amaran,8.2,2h 47m, (18K)
Chief of Station,4.7,1h 37m, (4.3K)
My Hero Academia: You're Next,7.0,1h 50m, (1.9K)
Trouble,6.2,1h 38m, (6.6K)
My Spy: The Eternal City,5.7,1h 52m, (11K)
Sunray: Fallen Soldier,4.3,1h 55m, (574)
Joe Baby,8.2,1h 26m, (24)
Uprising,6.6,2h 6m, (5.3K)
Elyas,6.1,1h 45m, (1.2K)
Dark Match,5.5,1h 34m, (808)
The Thundermans Return,5.0,1h 10m, (1.8K)
Deep Six,3.4,1h 34m, (210)
Code 8: Part II,5.7,1h 40m, (16K)
The Fix,4.6,1h 38m, (1.1K)
Singham Again,4.8,2h 24m, (75K)
Rifle Club,7.0,1h 53m, (3.9K)
Simarik,6.4,1h 51m, (2.2K)
Hounds of War,4.5,1h 35m, (1.7K)
Sikandar ka Muqaddar,6.0,2h 22m, (24K)
Drive Back,4.7,1h 34m, (285)
Rats!,8.2,1h 25m, (74)
Justice League: Crisis on Infinite Earths - Part One,6.2,1h 33m, (8.3K)
Prey,3.7,1h 26m, (3.2K)
Badland Hunters,5.9,1h 47m, (12K)
The Lost Tiger,7.8,1h 30m, (31)
The Courier,6.0,1h 41m, (4.3K)
The Roundup: Punishment,6.6,1h 49m, (5K)
Raayan,6.5,2h 25m, (11K)
Darkness of Man,4.8,1h 49m, (3.1K)
Cells at Work!,6.8,1h 49m, (153)
Officer Black Belt,6.8,1h 48m, (7.9K)
The Prosecutor,6.8,1h 57m, (1.3K)
Duchess,4.6,1h 54m, (1.2K)
Justice League: Crisis on Infinite Earths - Part Three,6.1,1h 34m, (4.3K)
The Price of Money: A Largo Winch Adventure,5.0,1h 40m, (1K)
The Wages of Fear,4.6,1h 44m, (4K)
Bougainvillea,6.4,2h 18m, (2.9K)
The Quiet Ones,6.5,1h 50m, (501)
Pani,6.9,2h 23m, (2.7K)
The Tiger's Apprentice,5.8,1h 24m, (2.1K)
Arena Wars,5.0,1h 36m, (2K)
Devara Part 1,6.0,2h 56m, (20K)
Karma,8.1,2h 47m, (1.4K)
City Hunter,6.3,1h 42m, (5.5K)
"I, the Executioner",6.3,1h 58m, (1.5K)
One Fast Move,5.0,1h 48m, (2.2K)
One More Shot,5.4,1h 43m, (3.5K)
Golden Kamuy,6.3,2h 7m, (2.5K)
Utopia,3.7,1h 31m, (331)
Cloud,6.3,2h 3m, (881)
Fight Another Day,5.1,1h 37m, (317)
Article 370,7.8,2h 38m, (24K)
Air Force One Down,4.4,1h 24m, (2.8K)
Lights Out,4.9,1h 30m, (1.7K)
Ultraman: Rising,6.9,1h 57m, (6.2K)
200% Wolf,5.9,1h 38m, (1.2K)
Fighter,6.2,2h 46m, (52K)
Life After Fighting,6.4,2h 6m, (1.9K)
Continental Split,3.5,1h 28m, (530)
Die Hart: Die Harter,4.3,1h 32m, (5.4K)
The Family Star,5.4,2h 39m, (5.4K)
Zero,6.1,1h 28m, (37)
Angels Fallen: Warriors of Peace,4.9,1h 43m, (5.8K)
Latency,4.2,1h 34m, (1.7K)
Kill Em All 2,4.1,1h 28m, (1.3K)
Echo 8,5.6,1h 36m, (153)
Agent Recon,2.4,1h 25m, (656)
Dan Da Dan: First Encounter,8.2,1h 23m, (2.5K)
Murder Company,3.6,1h 26m, (1.5K)
Ferry 2,5.6,1h 34m, (3.7K)
Operation Blood Hunt,3.4,1h 33m, (451)
Freedom,5.9,1h 50m, (1.3K)
Get Fast,3.6,1h 28m, (432)
Hijack 1971,6.8,1h 40m, (3.2K)
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,2h 54m, (641)
Anaconda,4.9,1h 24m, (599)
Alien: Rubicon,2.4,1h 26m, (327)
A Legend,4.7,2h 9m, (852)
Alangu,8.3,2h 11m, (1.1K)
Wynonna Earp: Vengeance,5.6,1h 36m, (1.5K)
Jigra,6.0,2h 33m, (23K)
Striking Rescue,5.8,1h 46m, (306)
Diabel,5.1,1h 48m, (188)
The Clean Up Crew,4.1,1h 35m, (1.1K)
The Hangman,3.3,1h 32m, (982)
Justice League: Crisis on Infinite Earths - Part Two,5.5,1h 34m, (5.2K)
Invasion,4.8,1h 31m, (662)
Savi,6.2,2h 6m, (35K)
Spiders on a Plane,5.9,1h 18m, (356)
Agni,7.3,2h 2m, (15K)
Revolver,5.4,1h 54m, (813)
Terminator: Skynet Rising,6.8,1h 28m, (256)
Hanu Man,7.7,2h 38m, (29K)
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,1h 44m, (8.2K)
Sixty Minutes,5.7,1h 28m, (5.1K)
Escape,6.4,1h 34m, (1.9K)
Murder at Hollow Creek,4.2,1h 45m, (77)
The Last Kumite,4.6,1h 49m, (2.3K)
London Calling,6.5,1h 22m, (8)
Outlaw,5.2,3h 3m, (896)
The Greatest of All Time,5.8,2h 15m, (22K)
Overlord: The Sacred Kingdom,7.0,1h 27m, (693)
72 Hours,4.1,1h 53m, (279)
Cassino in Ischia,4.4,2h 43m, (228)
Vettaiyan,7.0,1h 20m, (39K)
Baby Invasion,5.4,1h 45m, (49)
Heart of the Hunter,4.7,2h 2m, (2.1K)
Alienoid: The Return to the Future,6.5,1h 41m, (2.5K)
Handsome Guys,6.5,1h 28m, (734)
Snow White and the Seven Samurai,3.2,1h 50m, (259)
Operation Undead,4.6,1h 25m, (343)
Wanted Man,4.8,2h 46m, (2.5K)
Razakar: The Silent Genocide of Hyderabad,7.4,1h 53m, (5.2K)
"Love, Courage and the Battle of Bushy Run",5.1,2h 38m, (167)
Bagheera,6.7,2h 25m, (7.2K)
Kingdom 4: Return of the Great General,7.1,1h 57m, (1.2K)
The Lockdown,4.3,1h 24m, (592)
War of the Worlds: Extinction,3.0,1h 20m, (169)
Ryan's World the Movie: Titan Universe Adventure,1.8,2h 50m, (628)
Viduthalai Part 2,8.0,1h 40m, (15K)
GTMax,5.0,2h 10m, (1.2K)
Yodha,5.7,1h 38m, (8.8K)
The Last Front,5.5,2h 9m, (595)
Mura,7.3,2h 1m, (6.2K)
The Last Ronin,4.9,2h 40m, (215)
Vanvaas,6.7,1h 32m, (990)
Nice Girls,4.2,1h 36m, (1.2K)
The Ballad of Davy Crockett,4.6,2h 27m, (242)
12 Gaun,6.3,2h 46m, (861)
Saripodhaa Sanivaaram,7.0,2h 22m, (8.8K)
Chandu Champion,7.8,1h 21m, (34K)
Sunset Superman,6.1,2h 15m, (141)
Everybody Loves Jenifa,8.4,2h 36m, (76)
Thangalaan,6.6,2h 32m, (6.5K)
Kanguva,4.6,2h 12m, (14K)
Je jatt Vigarh gya,5.7,2h 39m, (811)
Guntur Karam,5.4,2h 30m, (24K)
A.R.M,7.1,2h 25m, (8.5K)
Vedaa,6.0,2h 8m, (4.2K)
Devaki Nandana Vasudeva,8.9,44m, (2.7K)
Rogue Elements: A Ryan Drake Story,4.9,1h 21m, (910)
Memes & Nightmares,5.7,1h 36m, (69)
12 to Midnight,3.6,1h 45m, (270)
Mission: Cross,6.1,1h 30m, (2.5K)
Roadkill,3.6,1h 46m, (671)
Sobanggwan,5.9,1h 38m, (138)
Escape from the 21st Century,6.5,2h 15m, (795)
UI,6.9,2h 20m, (5.6K)
Bachhala Malli,8.3,1h 41m, (3.9K)
Lady Scorpions,3.6,1h 28m, (359)
How to Rob a Bank,6.6,1h 34m, (4.1K)
Shark Warning,3.4,1h 36m, (243)
Alien Country,4.4,1h 46m, (346)
WWII: Operation Phoenix,6.7,2h 17m, (61)
Khadaan,7.4,1h 50m, (1.8K)
Bionic,4.3,1h 18m, (1.7K)
The Bouncer,4.3,1h 20m, (80)
Mother Mafia,3.3,2h 27m, (44)
Martin,2.3,1h 15m, (36K)
Kuang Bao Ju Xi,6.2,2h 26m, (66)
Sector 17,7.4,2h 9m, (1.3K)
Yolo,6.9,2h 43m, (3.6K)
