,0
0,"1. The Brutalist
2024
3h 34m
18
7.5
 (61K)
Rate
90
Metascore"
1,"2. Nosferatu
2024
2h 12m
15
7.3
 (172K)
Rate
78
Metascore"
2,"3. Anora
2024
2h 19m
18
7.6
 (132K)
Rate
91
Metascore"
3,"4. A Complete Unknown
2024
2h 21m
15
7.5
 (53K)
Rate
70
Metascore"
4,"5. Conclave
2024
2h
12A
7.4
 (123K)
Rate
79
Metascore"
5,"6. The Substance
2024
2h 21m
18
7.3
 (271K)
Rate
78
Metascore"
6,"7. I'm Still Here
2024
2h 17m
15
8.6
 (88K)
Rate
85
Metascore"
7,"8. A Real Pain
2024
1h 30m
15
7.1
 (70K)
Rate
85
Metascore"
8,"9. Presence
2024
1h 24m
15
6.2
 (14K)
Rate
77
Metascore"
9,"10. Flow
2024
1h 25m
U
7.9
 (50K)
Rate
87
Metascore"
10,"11. Emilia Pérez
2024
2h 12m
15
5.4
 (82K)
Rate
70
Metascore"
11,"12. Venom: The Last Dance
2024
1h 50m
15
6.0
 (103K)
Rate
41
Metascore"
12,"13. Wicked
2024
2h 40m
PG
7.5
 (138K)
Rate
73
Metascore"
13,"14. Elevation
2024
1h 31m
15
5.6
 (18K)
Rate
50
Metascore"
14,"15. Sonic the Hedgehog 3
2024
1h 50m
PG
6.9
 (50K)
Rate
56
Metascore"
15,"16. Gladiator II
2024
2h 28m
15
6.6
 (211K)
Rate
64
Metascore"
16,"17. Mufasa: The Lion King
2024
1h 58m
PG
6.6
 (46K)
Rate
56
Metascore"
17,"18. Nickel Boys
2024
2h 20m
12A
7.0
 (15K)
Rate
91
Metascore"
18,"19. Longlegs
2024
1h 41m
15
6.6
 (176K)
Rate
77
Metascore"
19,"20. Babygirl
2024
1h 54m
18
6.0
 (45K)
Rate
79
Metascore"
20,"21. The Order
2024
1h 56m
15
6.8
 (36K)
Rate
75
Metascore"
21,"22. September 5
2024
1h 35m
15
7.1
 (18K)
Rate
76
Metascore"
22,"23. The Wild Robot
2024
1h 42m
U
8.2
 (147K)
Rate
85
Metascore"
23,"24. The Last Showgirl
2024
1h 28m
15
6.5
 (7.6K)
Rate
65
Metascore"
24,"25. Heretic
2024
1h 51m
15
7.0
 (111K)
Rate
71
Metascore"
25,"26. Furiosa: A Mad Max Saga
2024
2h 28m
15
7.5
 (277K)
Rate
79
Metascore"
26,"27. Eden
2024
2h
R
6.1
 (771)
Rate
60
Metascore"
27,"28. Dune: Part Two
2024
2h 46m
12A
8.5
 (608K)
Rate
79
Metascore"
28,"29. The Apprentice
2024
2h 2m
15
7.1
 (47K)
Rate
64
Metascore"
29,"30. The Surfer
2024
1h 43m
6.5
 (564)
Rate
67
Metascore"
30,"31. Parthenope
2024
2h 17m
R
6.7
 (8.1K)
Rate
52
Metascore"
31,"32. Pushpa: The Rule - Part 2
2024
3h 21m
15
6.1
 (53K)
Rate"
32,"33. Paddington in Peru
2024
1h 46m
PG
6.7
 (15K)
Rate
65
Metascore"
33,"34. Saturday Night
2024
1h 49m
15
6.9
 (28K)
Rate
60
Metascore"
34,"35. Kraven the Hunter
2024
2h 7m
15
5.4
 (41K)
Rate
35
Metascore"
35,"36. Blink Twice
2024
1h 42m
15
6.5
 (98K)
Rate
66
Metascore"
36,"37. It Ends with Us
2024
2h 10m
15
6.4
 (80K)
Rate
53
Metascore"
37,"38. Old Guy
2024
1h 34m
15
5.1
 (1.3K)
Rate
33
Metascore"
38,"39. We Live in Time
2024
1h 48m
15
7.0
 (47K)
Rate
59
Metascore"
39,"40. Better Man
2024
2h 15m
15
7.6
 (20K)
Rate
77
Metascore"
40,"41. Juror #2
2024
1h 54m
12A
7.0
 (89K)
Rate
72
Metascore"
41,"42. Subservience
2024
1h 46m
R
5.4
 (26K)
Rate"
42,"43. Moana 2
2024
1h 40m
PG
6.8
 (81K)
Rate
58
Metascore"
43,"44. Deadpool & Wolverine
2024
2h 8m
15
7.6
 (476K)
Rate
56
Metascore"
44,"45. Queen of the Ring
2024
2h 20m
PG-13
7.2
 (453)
Rate
70
Metascore"
45,"46. The Ministry of Ungentlemanly Warfare
2024
2h 2m
15
6.8
 (131K)
Rate
55
Metascore"
46,"47. Borderlands
2024
1h 41m
12A
4.7
 (44K)
Rate
26
Metascore"
47,"48. Alien: Romulus
2024
1h 59m
15
7.1
 (235K)
Rate
64
Metascore"
48,"49. The Girl with the Needle
2024
2h 3m
15
7.5
 (11K)
Rate
82
Metascore"
49,"50. Maria
2024
2h 4m
12A
6.4
 (17K)
Rate
63
Metascore"
